id;nombre;descripcion;precio_compra;precio_venta;estado;talla;image;image_content_type
1;budgetary management;cyan ivory;81998;32882;AGOTADO;L;../fake-data/blob/hipster.png;image/png
2;GB Checking Account Fresh;systemic Practical orchid;19082;34838;ACTIVO;L;../fake-data/blob/hipster.png;image/png
3;Accounts virtual Small;Iraqi Dinar Gibraltar;16908;53648;INACTIVO;M;../fake-data/blob/hipster.png;image/png
4;ROI multi-tasking Croatia;SSL incubate;28242;73188;ACTIVO;XL;../fake-data/blob/hipster.png;image/png
5;Via;B2B Utah;36079;54847;ACTIVO;XL;../fake-data/blob/hipster.png;image/png
6;Benin Strategist Buckinghamshire;synergies cross-platform Refined Cotton Tuna;73001;18378;AGOTADO;XL;../fake-data/blob/hipster.png;image/png
7;Michigan Savings Account deposit;Markets Car;6476;15519;ACTIVO;L;../fake-data/blob/hipster.png;image/png
8;withdrawal;framework Communications;720;43905;AGOTADO;M;../fake-data/blob/hipster.png;image/png
9;French Southern Territories;Group;40288;23094;ACTIVO;XL;../fake-data/blob/hipster.png;image/png
10;TCP Alaska Borders;Multi-layered;22128;67183;ACTIVO;XL;../fake-data/blob/hipster.png;image/png
